_date,total_clones,unique_clones
2023-09-16,62,9
2023-09-17,2,1
2023-09-18,12,6
2023-09-19,128,11
2023-09-20,1,1
2023-09-23,1,1
2023-09-28,135,12
2023-09-29,7,4
2023-09-30,36,8
2023-10-01,11,6
2023-10-02,9,5
2023-10-03,8,4
2023-10-04,8,4
2023-10-05,7,3
2023-10-06,7,3
2023-10-07,8,3
2023-10-08,7,3
2023-10-09,8,4
2023-10-10,11,5
2023-10-11,7,3
2023-10-12,5,2
2023-10-13,7,3
2023-10-14,8,3
2023-10-15,8,4
2023-10-16,8,4
2023-10-17,7,3
2023-10-18,6,3
2023-10-19,6,3
2023-10-20,6,3
2023-10-21,6,2
2023-10-22,6,3
2023-10-23,8,5
2023-10-24,7,4
2023-10-25,7,4
2023-10-26,7,4
2023-10-27,8,5
2023-10-28,8,4
2023-10-29,5,2
2023-10-30,7,4
2023-10-31,6,3
2023-11-01,7,4
2023-11-02,8,5
2023-11-03,9,5
2023-11-04,8,4
2023-11-05,7,4
2023-11-06,8,5
2023-11-07,7,4
2023-11-08,5,2
2023-11-09,7,4
2023-11-10,7,4
2023-11-11,8,4
2023-11-12,7,4
2023-11-13,7,4
2023-11-14,6,3
2023-11-15,6,3
2023-11-16,6,3
2023-11-17,7,4
2023-11-18,8,4
2023-11-19,7,4
2023-11-20,9,6
2023-11-21,8,5
2023-11-22,6,3
2023-11-23,9,5
2023-11-24,8,4
2023-11-25,7,3
2023-11-26,6,3
2023-11-27,8,5
2023-11-28,7,4
2023-11-29,5,2
2023-11-30,7,4
2023-12-01,5,2
2023-12-02,9,5
2023-12-03,7,4
2023-12-04,7,4
2023-12-05,6,3
2023-12-06,7,4
2023-12-07,5,2
2023-12-08,10,6
2023-12-09,9,5
2023-12-10,8,5
2023-12-11,9,6
2023-12-12,6,3
2023-12-13,7,4
2023-12-14,6,3
2023-12-15,8,5
2023-12-16,7,3
2023-12-17,1,1
2023-12-18,7,4
2023-12-19,10,7
2023-12-20,7,4
2023-12-21,6,3
2023-12-22,6,3
2023-12-23,9,5
2023-12-24,7,4
2023-12-25,7,4
2023-12-26,6,3
2023-12-27,6,3
